store_id,business_unit_id,store_name,channel,marketplace,active
STORE_JPS_KILIMALL,BU_PHONE,JAKAN PHONE STORE,KILIMALL,KILIMALL,true
STORE_JSP_PHYSICAL,BU_SHOE,JAKAN SHOE PALACE,PHYSICAL_SHOP,,true
